TREAT,AGE,EDUC,BLACK,HISP,MARR,RE74,RE75,RE78,U74,U75,AGESQ,EDUCSQ,NODEGREE,RE74SQ,RE75SQ,U74BLACK,U74HISP,REDIFF
0,31,11,0,0,1,34483.1,35806.5,36943.2,0,0,961,121,1,1.19e+09,1.28e+09,0,0,1136.699
0,46,11,0,0,1,34287.2,30077.4,39898.6,0,0,2116,121,1,1.18e+09,9.05e+08,0,0,9821.201
0,46,11,0,0,1,34287.2,30077.4,39898.6,0,0,2116,121,1,1.18e+09,9.05e+08,0,0,9821.201
0,35,7,0,0,1,34091.2,28287.1,25121.4,0,0,1225,49,1,1.16e+09,8.00e+08,0,0,-3165.699
0,49,8,0,0,1,33699.4,28645.2,2955.45,0,0,2401,64,1,1.14e+09,8.21e+08,0,0,-25689.75
0,42,11,0,0,1,33307.5,44758.1,54675.9,0,0,1764,121,1,1.11e+09,2.00e+09,0,0,9917.797
0,38,8,0,0,1,33307.5,35448.4,33987.7,0,0,1444,64,1,1.11e+09,1.26e+09,0,0,-1460.699
0,32,10,0,0,1,33307.5,25064.5,29554.5,0,0,1024,100,1,1.11e+09,6.28e+08,0,0,4490
0,42,9,0,0,1,33221.3,32225.8,33987.7,0,0,1764,81,1,1.10e+09,1.04e+09,0,0,1761.898
0,42,9,0,0,1,33221.3,32225.8,33987.7,0,0,1764,81,1,1.10e+09,1.04e+09,0,0,1761.898
0,54,11,0,0,1,33158.6,32225.8,36943.2,0,0,2916,121,1,1.10e+09,1.04e+09,0,0,4717.398
0,51,8,0,0,1,33111.6,27750,32362.2,0,0,2601,64,1,1.10e+09,7.70e+08,0,0,4612.199
0,47,11,0,0,1,32719.8,30435.5,36943.2,0,0,2209,121,1,1.07e+09,9.26e+08,0,0,6507.699
0,48,8,0,0,1,31510.9,35795.7,28076.8,0,0,2304,64,1,9.93e+08,1.28e+09,0,0,-7718.898
0,48,8,0,0,1,31510.9,35795.7,28076.8,0,0,2304,64,1,9.93e+08,1.28e+09,0,0,-7718.898
0,49,8,0,0,1,31348.3,37596.8,38420.9,0,0,2401,64,1,9.83e+08,1.41e+09,0,0,824.0977
0,45,5,0,0,1,31348.3,37596.8,31477.1,0,0,2025,25,1,9.83e+08,1.41e+09,0,0,-6119.701
0,52,11,0,0,1,31348.3,33121,28076.8,0,0,2704,121,1,9.83e+08,1.10e+09,0,0,-5044.199
0,21,10,0,0,1,31348.3,10741.9,44331.8,0,0,441,100,1,9.83e+08,1.15e+08,0,0,33589.9
0,37,11,0,0,1,31250.3,26854.8,36943.2,0,0,1369,121,1,9.77e+08,7.21e+08,0,0,10088.4
0,55,11,0,0,1,31048.5,31053.1,28076.8,0,0,3025,121,1,9.64e+08,9.64e+08,0,0,-2976.299
0,42,9,0,0,0,30368.6,19693.5,35465.4,0,0,1764,81,1,9.22e+08,3.88e+08,0,0,15771.9
0,38,9,0,0,1,29976.8,25064.5,47287.3,0,0,1444,81,1,8.99e+08,6.28e+08,0,0,22222.8
0,48,9,0,0,1,29389,32225.8,31032.3,0,0,2304,81,1,8.64e+08,1.04e+09,0,0,-1193.5
0,33,10,0,0,1,29389,28645.2,36499.8,0,0,1089,100,1,8.64e+08,8.21e+08,0,0,7854.602
0,30,11,0,1,1,29389,26854.8,36943.2,0,0,900,121,1,8.64e+08,7.21e+08,0,0,10088.4
0,44,10,0,0,1,29389,26854.8,23643.6,0,0,1936,100,1,8.64e+08,7.21e+08,0,0,-3211.201
0,40,11,0,0,1,29389,26407.3,31032.3,0,0,1600,121,1,8.64e+08,6.97e+08,0,0,4625
0,28,10,0,0,1,29389,23274.2,22904.8,0,0,784,100,1,8.64e+08,5.42e+08,0,0,-369.3984
0,48,9,0,0,1,29389,19693.5,23052.5,0,0,2304,81,1,8.64e+08,3.88e+08,0,0,3359
0,37,10,0,0,1,29369.4,27750,39898.6,0,0,1369,100,1,8.63e+08,7.70e+08,0,0,12148.6
0,49,7,0,0,1,29247.9,20767.7,21341.3,0,0,2401,49,1,8.55e+08,4.31e+08,0,0,573.6016
0,46,10,0,0,1,28766,19514.5,25677,0,0,2116,100,1,8.27e+08,3.81e+08,0,0,6162.5
0,36,10,0,1,1,28409.4,28645.2,39159.8,0,0,1296,100,1,8.07e+08,8.21e+08,0,0,10514.6
0,48,8,0,0,1,28409.4,26317.7,28076.8,0,0,2304,64,1,8.07e+08,6.93e+08,0,0,1759.102
0,40,11,0,0,1,28409.4,12532.3,13299.5,0,0,1600,121,1,8.07e+08,1.57e+08,0,0,767.2002
0,55,10,0,0,1,28331,28602.2,28815.7,0,0,3025,100,1,8.03e+08,8.18e+08,0,0,213.5
0,45,10,0,0,1,28017.5,32225.8,36943.2,0,0,2025,100,1,7.85e+08,1.04e+09,0,0,4717.398
0,42,9,0,0,1,28017.5,23453.2,26377.4,0,0,1764,81,1,7.85e+08,5.50e+08,0,0,2924.201
0,42,9,0,0,1,28017.5,23453.2,26377.4,0,0,1764,81,1,7.85e+08,5.50e+08,0,0,2924.201
0,47,7,0,0,1,27821.6,27929,28925,0,0,2209,49,1,7.74e+08,7.80e+08,0,0,996
0,49,8,0,0,1,27482.6,25064.5,27337.9,0,0,2401,64,1,7.55e+08,6.28e+08,0,0,2273.4
0,50,10,0,0,1,27429.7,32225.8,33987.7,0,0,2500,100,1,7.52e+08,1.04e+09,0,0,1761.898
0,46,11,0,0,1,27429.7,9846.77,16993.9,0,0,2116,121,1,7.52e+08,9.70e+07,0,0,7147.131
0,50,8,0,0,0,27084.9,21125.8,26599.1,0,0,2500,64,1,7.34e+08,4.46e+08,0,0,5473.299
0,46,11,0,0,1,26842,29361.3,36943.2,0,0,2116,121,1,7.20e+08,8.62e+08,0,0,7581.898
0,31,8,0,0,1,26450.1,32225.8,26953.7,0,0,961,64,1,7.00e+08,1.04e+09,0,0,-5272.102
0,42,11,0,0,1,26450.1,22379,23327.4,0,0,1764,121,1,7.00e+08,5.01e+08,0,0,948.4004
0,44,6,0,1,1,26450.1,3580.65,0,0,0,1936,36,1,7.00e+08,1.28e+07,0,0,-3580.65
0,48,10,0,0,0,26058.2,26854.8,33043.4,0,0,2304,100,1,6.79e+08,7.21e+08,0,0,6188.598
0,40,8,0,0,1,25862.3,26138.7,26155.8,0,0,1600,64,1,6.69e+08,6.83e+08,0,0,17.10156
0,49,8,0,0,1,25862.3,22916.1,16255,0,0,2401,64,1,6.69e+08,5.25e+08,0,0,-6661.1
0,47,8,0,0,1,25707.5,25064.5,19062.7,0,0,2209,64,1,6.61e+08,6.28e+08,0,0,-6001.801
0,44,8,0,0,1,25470.5,26854.8,25860.2,0,0,1936,64,1,6.49e+08,7.21e+08,0,0,-994.6016
0,51,11,0,0,1,25470.5,25064.5,26599.1,0,0,2601,121,1,6.49e+08,6.28e+08,0,0,1534.6
0,49,11,0,0,1,25470.5,25064.5,25121.4,0,0,2401,121,1,6.49e+08,6.28e+08,0,0,56.90039
0,40,8,0,0,1,25470.5,21483.9,16255,0,0,1600,64,1,6.49e+08,4.62e+08,0,0,-5228.9
0,38,9,0,0,1,25470.5,21483.9,47287.3,0,0,1444,81,1,6.49e+08,4.62e+08,0,0,25803.4
0,49,11,0,0,1,25470.5,19693.5,481.739,0,0,2401,121,1,6.49e+08,3.88e+08,0,0,-19211.76
0,48,8,0,1,1,25470.5,16112.9,23643.6,0,0,2304,64,1,6.49e+08,2.60e+08,0,0,7530.699
0,44,6,0,0,1,25470.5,7619.61,11821.8,0,0,1936,36,1,6.49e+08,5.81e+07,0,0,4202.19
0,32,9,0,0,1,25470.5,1432.26,24803.6,0,0,1024,81,1,6.49e+08,2051369,0,0,23371.34
0,48,8,0,0,1,25470.5,0,13299.5,0,1,2304,64,1,6.49e+08,0,0,0,13299.5
0,49,6,0,0,1,25274.5,21841.9,29111.2,0,0,2401,36,1,6.39e+08,4.77e+08,0,0,7269.299
0,30,11,0,0,1,24882.7,26854.8,33248.8,0,0,900,121,1,6.19e+08,7.21e+08,0,0,6394
0,47,7,0,0,1,24784.7,23811.3,25860.2,0,0,2209,49,1,6.14e+08,5.67e+08,0,0,2048.898
0,32,10,0,0,1,24686.8,27033.9,22904.8,0,0,1024,100,1,6.09e+08,7.31e+08,0,0,-4129.1
0,52,9,0,0,1,24628,25064.5,19210.4,0,0,2704,81,1,6.07e+08,6.28e+08,0,0,-5854.1
0,54,3,0,0,1,24530,19514.5,30549,0,0,2916,9,1,6.02e+08,3.81e+08,0,0,11034.5
0,28,11,0,0,1,24099,24169.4,35465.4,0,0,784,121,1,5.81e+08,5.84e+08,0,0,11296
0,37,8,0,0,1,24099,22823,23145.6,0,0,1369,64,1,5.81e+08,5.21e+08,0,0,322.5996
0,30,9,0,0,1,23903.1,23900.8,23791.4,0,0,900,81,1,5.71e+08,5.71e+08,0,0,-109.4004
0,48,9,0,0,1,23860,25064.5,26968.5,0,0,2304,81,1,5.69e+08,6.28e+08,0,0,1904
0,29,10,0,0,1,23711,26854.8,13299.5,0,0,841,100,1,5.62e+08,7.21e+08,0,0,-13555.3
0,52,11,0,0,1,23568,0,0,0,1,2704,121,1,5.55e+08,0,0,0,0
0,30,10,0,0,1,23511.2,28645.2,28047.3,0,0,900,100,1,5.53e+08,8.21e+08,0,0,-597.8984
0,51,8,0,0,1,23511.2,27019.5,27337.9,0,0,2601,64,1,5.53e+08,7.30e+08,0,0,318.4004
0,51,8,0,0,1,23511.2,26407.3,22165.9,0,0,2601,64,1,5.53e+08,6.97e+08,0,0,-4241.4
0,51,11,0,0,1,23511.2,25780.6,27190.2,0,0,2601,121,1,5.53e+08,6.65e+08,0,0,1409.6
0,50,8,0,0,1,23511.2,25243.5,26155.8,0,0,2500,64,1,5.53e+08,6.37e+08,0,0,912.3008
0,23,10,0,0,1,23511.2,25064.5,25121.4,0,0,529,100,1,5.53e+08,6.28e+08,0,0,56.90039
0,24,10,0,0,1,23511.2,25062.7,29678.7,0,0,576,100,1,5.53e+08,6.28e+08,0,0,4616
0,42,9,0,0,1,23511.2,21841.9,26303.5,0,0,1764,81,1,5.53e+08,4.77e+08,0,0,4461.6
0,54,8,0,0,1,23511.2,21483.9,19210.4,0,0,2916,64,1,5.53e+08,4.62e+08,0,0,-2273.5
0,30,9,0,0,1,23511.2,19441.1,26599.1,0,0,900,81,1,5.53e+08,3.78e+08,0,0,7158
0,42,8,0,0,1,23511.2,18798.4,26569.5,0,0,1764,64,1,5.53e+08,3.53e+08,0,0,7771.1
0,42,6,0,0,1,23511.2,17903.2,23643.6,0,0,1764,36,1,5.53e+08,3.21e+08,0,0,5740.4
0,42,6,0,0,1,23511.2,17903.2,23643.6,0,0,1764,36,1,5.53e+08,3.21e+08,0,0,5740.4
0,42,6,0,0,1,23511.2,17903.2,23643.6,0,0,1764,36,1,5.53e+08,3.21e+08,0,0,5740.4
0,53,5,0,0,1,23511.2,17903.2,20215.3,0,0,2809,25,1,5.53e+08,3.21e+08,0,0,2312.102
0,28,11,0,0,1,23511.2,5370.97,21796.5,0,0,784,121,1,5.53e+08,2.88e+07,0,0,16425.53
0,48,10,0,0,1,23511.2,2864.52,0,0,0,2304,100,1,5.53e+08,8205475,0,0,-2864.52
0,31,10,0,0,1,23315.3,2467.06,15220.6,0,0,961,100,1,5.44e+08,6086386,0,0,12753.54
0,47,10,0,0,1,23236.9,17903.2,35365,0,0,2209,100,1,5.40e+08,3.21e+08,0,0,17461.8
0,30,11,0,0,1,23119.3,20051.6,22018.1,0,0,900,121,1,5.35e+08,4.02e+08,0,0,1966.5
0,32,10,0,0,1,23025.3,21483.9,33987.7,0,0,1024,100,1,5.30e+08,4.62e+08,0,0,12503.8
0,49,9,0,0,1,22727.5,30435.5,29554.5,0,0,2401,81,1,5.17e+08,9.26e+08,0,0,-881
0,48,10,0,0,1,22727.5,26854.8,27042.4,0,0,2304,100,1,5.17e+08,7.21e+08,0,0,187.5996
0,49,10,0,0,1,22727.5,23095.2,24086.9,0,0,2401,100,1,5.17e+08,5.33e+08,0,0,991.7012
0,28,9,0,0,1,22727.5,20767.7,22904.8,0,0,784,81,1,5.17e+08,4.31e+08,0,0,2137.102
0,31,9,0,0,1,22531.6,21483.9,0,0,0,961,81,1,5.08e+08,4.62e+08,0,0,-21483.9
0,48,11,0,0,1,22178.9,19693.5,16255,0,0,2304,121,1,4.92e+08,3.88e+08,0,0,-3438.5
0,48,11,0,0,1,22178.9,19693.5,16255,0,0,2304,121,1,4.92e+08,3.88e+08,0,0,-3438.5
0,49,5,0,1,1,22041.8,23274.2,20392.6,0,0,2401,25,1,4.86e+08,5.42e+08,0,0,-2881.6
0,51,10,0,0,1,21943.8,23274.2,25860.2,0,0,2601,100,1,4.82e+08,5.42e+08,0,0,2586
0,51,10,0,0,1,21943.8,23274.2,25860.2,0,0,2601,100,1,4.82e+08,5.42e+08,0,0,2586
0,47,10,0,1,1,21943.8,18977.4,19210.4,0,0,2209,100,1,4.82e+08,3.60e+08,0,0,233
0,39,7,0,0,1,21712.6,24065.5,23643.6,0,0,1521,49,1,4.71e+08,5.79e+08,0,0,-421.9004
0,43,9,0,0,1,21630.3,11565.5,11821.8,0,0,1849,81,1,4.68e+08,1.34e+08,0,0,256.2998
0,35,10,0,0,1,21583.3,23847.1,22757,0,0,1225,100,1,4.66e+08,5.69e+08,0,0,-1090.1
0,49,8,0,0,0,21551.9,36316.7,44331.8,0,0,2401,64,1,4.64e+08,1.32e+09,0,0,8015.102
0,25,8,0,0,1,21551.9,25959.7,25121.4,0,0,625,64,1,4.64e+08,6.74e+08,0,0,-838.2988
0,39,9,0,0,1,21551.9,19693.5,20688.2,0,0,1521,81,1,4.64e+08,3.88e+08,0,0,994.6992
0,55,10,0,0,1,21551.9,19693.5,14777.3,0,0,3025,100,1,4.64e+08,3.88e+08,0,0,-4916.2
0,42,10,0,0,1,21551.9,18798.4,22165.9,0,0,1764,100,1,4.64e+08,3.53e+08,0,0,3367.5
0,46,11,0,0,1,21551.9,16112.9,13299.5,0,0,2116,121,1,4.64e+08,2.60e+08,0,0,-2813.4
0,37,8,0,0,1,21481.4,14322.6,23643.6,0,0,1369,64,1,4.61e+08,2.05e+08,0,0,9321
0,25,10,0,0,1,20964.2,23632.3,23495.9,0,0,625,100,1,4.39e+08,5.58e+08,0,0,-136.4004
0,53,8,0,0,1,20964.2,22033.5,23195.9,0,0,2809,64,1,4.39e+08,4.85e+08,0,0,1162.4
0,46,10,0,0,1,20944.6,21338.9,21131.5,0,0,2116,100,1,4.39e+08,4.55e+08,0,0,-207.4004
0,43,11,0,0,1,20629.1,31330.6,26599.1,0,0,1849,121,1,4.26e+08,9.82e+08,0,0,-4731.5
0,41,8,0,0,1,20572.3,22379,19633.1,0,0,1681,64,1,4.23e+08,5.01e+08,0,0,-2745.9
0,38,11,0,0,1,20572.3,21483.9,19210.4,0,0,1444,121,1,4.23e+08,4.62e+08,0,0,-2273.5
0,40,11,0,0,1,20572.3,21483.9,27485.7,0,0,1600,121,1,4.23e+08,4.62e+08,0,0,6001.799
0,36,10,0,0,1,20572.3,17366.1,14481.7,0,0,1296,100,1,4.23e+08,3.02e+08,0,0,-2884.399
0,52,5,0,0,1,20572.3,16112.9,19210.4,0,0,2704,25,1,4.23e+08,2.60e+08,0,0,3097.5
0,50,7,0,0,1,20180.4,14322.6,0,0,0,2500,49,1,4.07e+08,2.05e+08,0,0,-14322.6
0,48,8,0,0,1,19984.5,21483.9,19210.4,0,0,2304,64,1,3.99e+08,4.62e+08,0,0,-2273.5
0,53,10,0,0,1,19984.5,21483.9,4433.18,0,0,2809,100,1,3.99e+08,4.62e+08,0,0,-17050.72
0,23,10,0,0,1,19984.5,21483.9,17732.7,0,0,529,100,1,3.99e+08,4.62e+08,0,0,-3751.201
0,27,7,0,0,1,19984.5,20409.7,31032.3,0,0,729,49,1,3.99e+08,4.17e+08,0,0,10622.6
0,24,10,0,0,1,19592.7,25064.5,29554.5,0,0,576,100,1,3.84e+08,6.28e+08,0,0,4490
0,41,9,0,0,1,19592.7,21483.9,20304,0,0,1681,81,1,3.84e+08,4.62e+08,0,0,-1179.9
0,22,11,0,0,1,19592.7,20588.7,27929,0,0,484,121,1,3.84e+08,4.24e+08,0,0,7340.301
0,38,8,0,0,1,19592.7,19693.5,23643.6,0,0,1444,64,1,3.84e+08,3.88e+08,0,0,3950.1
0,38,8,0,0,1,19592.7,19693.5,23643.6,0,0,1444,64,1,3.84e+08,3.88e+08,0,0,3950.1
0,53,7,0,0,1,19592.7,19693.5,22165.9,0,0,2809,49,1,3.84e+08,3.88e+08,0,0,2472.4
0,38,8,0,0,1,19592.7,17903.2,30207.7,0,0,1444,64,1,3.84e+08,3.21e+08,0,0,12304.5
0,52,8,0,0,1,19592.7,17903.2,17289.4,0,0,2704,64,1,3.84e+08,3.21e+08,0,0,-613.7988
0,52,9,0,0,1,19592.7,16112.9,24045.6,0,0,2704,81,1,3.84e+08,2.60e+08,0,0,7932.699
0,50,10,0,0,1,19592.7,15933.9,29554.5,0,0,2500,100,1,3.84e+08,2.54e+08,0,0,13620.6
0,22,10,0,0,1,19592.7,15217.7,0,0,0,484,100,1,3.84e+08,2.32e+08,0,0,-15217.7
0,36,8,0,1,1,19592.7,11995.2,16993.9,0,0,1296,64,1,3.84e+08,1.44e+08,0,0,4998.7
0,36,8,0,1,1,19592.7,11995.2,16993.9,0,0,1296,64,1,3.84e+08,1.44e+08,0,0,4998.7
0,33,10,0,0,1,19592.7,10741.9,26599.1,0,0,1089,100,1,3.84e+08,1.15e+08,0,0,15857.2
0,51,11,0,0,1,19592.7,6982.26,26599.1,0,0,2601,121,1,3.84e+08,4.88e+07,0,0,19616.84
0,35,9,0,0,1,19200.8,17706.3,8866.36,0,0,1225,81,1,3.69e+08,3.14e+08,0,0,-8839.94
0,49,4,0,0,1,19200.8,7161.29,2955.45,0,0,2401,16,1,3.69e+08,5.13e+07,0,0,-4205.84
0,47,10,0,0,1,19004.9,17903.2,21722.6,0,0,2209,100,1,3.61e+08,3.21e+08,0,0,3819.4
0,47,10,0,0,1,19004.9,17903.2,21722.6,0,0,2209,100,1,3.61e+08,3.21e+08,0,0,3819.4
0,40,10,0,0,1,18417.1,17903.2,20688.2,0,0,1600,100,1,3.39e+08,3.21e+08,0,0,2785
0,40,10,0,0,1,18417.1,17903.2,20688.2,0,0,1600,100,1,3.39e+08,3.21e+08,0,0,2785
0,20,9,0,0,1,18285.8,20767.7,23643.6,0,0,400,81,1,3.34e+08,4.31e+08,0,0,2875.9
0,23,8,0,0,1,18221.2,25073.5,12117.4,0,0,529,64,1,3.32e+08,6.29e+08,0,0,-12956.1
0,44,8,0,0,1,18025.3,18798.4,28076.8,0,0,1936,64,1,3.25e+08,3.53e+08,0,0,9278.4
0,23,10,0,0,1,17829.3,21483.9,23643.6,0,0,529,100,1,3.18e+08,4.62e+08,0,0,2159.699
0,32,8,0,0,1,17829.3,21483.9,20688.2,0,0,1024,64,1,3.18e+08,4.62e+08,0,0,-795.7012
0,54,11,0,0,1,17829.3,15754.8,18102.2,0,0,2916,121,1,3.18e+08,2.48e+08,0,0,2347.399
0,38,9,0,0,1,17829.3,7877.42,20688.2,0,0,1444,81,1,3.18e+08,6.21e+07,0,0,12810.78
0,46,11,0,0,1,17684.3,16112.9,19210.4,0,0,2116,121,1,3.13e+08,2.60e+08,0,0,3097.5
0,47,10,0,0,1,17633.4,19693.5,30884.5,0,0,2209,100,1,3.11e+08,3.88e+08,0,0,11191
0,26,8,0,0,1,17633.4,18440.3,886.636,0,0,676,64,1,3.11e+08,3.40e+08,0,0,-17553.66
0,34,6,0,0,1,17633.4,17903.2,4876.5,0,0,1156,36,1,3.11e+08,3.21e+08,0,0,-13026.7
0,44,11,0,0,1,17633.4,16471,14555.6,0,0,1936,121,1,3.11e+08,2.71e+08,0,0,-1915.4
0,18,9,0,0,1,17633.4,16112.9,17584.9,0,0,324,81,1,3.11e+08,2.60e+08,0,0,1472
0,35,9,0,0,1,17633.4,16112.9,17732.7,0,0,1225,81,1,3.11e+08,2.60e+08,0,0,1619.799
0,29,8,0,0,1,17633.4,16112.9,11821.8,0,0,841,64,1,3.11e+08,2.60e+08,0,0,-4291.101
0,33,8,0,0,1,17633.4,12890.3,22165.9,0,0,1089,64,1,3.11e+08,1.66e+08,0,0,9275.601
0,46,10,0,1,1,17633.4,10741.9,5910.91,0,0,2116,100,1,3.11e+08,1.15e+08,0,0,-4830.99
0,21,9,0,0,1,17633.4,3202.89,3251,0,0,441,81,1,3.11e+08,1.03e+07,0,0,48.11011
0,22,11,0,0,1,17633.4,0,13299.5,0,1,484,121,1,3.11e+08,0,0,0,13299.5
0,34,7,0,0,0,17619.7,20481.3,19432.1,0,0,1156,49,1,3.10e+08,4.19e+08,0,0,-1049.201
0,31,8,0,0,1,17241.5,15754.8,16210.7,0,0,961,64,1,2.97e+08,2.48e+08,0,0,455.9004
0,23,11,0,0,1,17045.6,11986.2,5910.91,0,0,529,121,1,2.91e+08,1.44e+08,0,0,-6075.29
0,47,11,0,0,1,16928.1,15409.3,17732.7,0,0,2209,121,1,2.87e+08,2.37e+08,0,0,2323.399
0,20,10,0,0,1,16849.7,11995.2,17880.5,0,0,400,100,1,2.84e+08,1.44e+08,0,0,5885.3
0,28,9,0,0,1,16653.8,17158.5,17957.3,0,0,784,81,1,2.77e+08,2.94e+08,0,0,798.8008
0,33,10,0,0,1,16653.8,16112.9,12560.7,0,0,1089,100,1,2.77e+08,2.60e+08,0,0,-3552.2
0,21,11,0,0,1,16653.8,13427.4,10344.1,0,0,441,121,1,2.77e+08,1.80e+08,0,0,-3083.301
0,22,11,0,0,0,16653.8,3759.68,0,0,0,484,121,1,2.77e+08,1.41e+07,0,0,-3759.68
0,46,8,0,0,1,16457.8,16112.9,16255,0,0,2116,64,1,2.71e+08,2.60e+08,0,0,142.0996
0,45,4,0,1,1,16261.9,28108.1,28076.8,0,0,2025,16,1,2.64e+08,7.90e+08,0,0,-31.29883
0,24,10,0,0,1,16144.4,20767.7,22904.8,0,0,576,100,1,2.61e+08,4.31e+08,0,0,2137.102
0,30,11,0,0,1,16066,17989.2,23052.5,0,0,900,121,1,2.58e+08,3.24e+08,0,0,5063.301
0,30,11,0,0,1,16066,17989.2,23052.5,0,0,900,121,1,2.58e+08,3.24e+08,0,0,5063.301
0,35,10,0,0,1,15921,16148.7,16606.7,0,0,1225,100,1,2.53e+08,2.61e+08,0,0,457.999
0,31,11,0,0,1,15870.1,15602.7,17732.7,0,0,961,121,1,2.52e+08,2.43e+08,0,0,2129.999
0,37,8,0,0,1,15674.1,26317.7,36943.2,0,0,1369,64,1,2.46e+08,6.93e+08,0,0,10625.5
0,18,10,0,0,1,15674.1,21483.9,24973.6,0,0,324,100,1,2.46e+08,4.62e+08,0,0,3489.699
0,21,9,0,0,1,15674.1,19693.5,1773.27,0,0,441,81,1,2.46e+08,3.88e+08,0,0,-17920.23
0,47,10,0,0,1,15674.1,19693.5,22165.9,0,0,2209,100,1,2.46e+08,3.88e+08,0,0,2472.4
0,47,10,0,0,1,15674.1,19693.5,22165.9,0,0,2209,100,1,2.46e+08,3.88e+08,0,0,2472.4
0,50,8,0,0,1,15674.1,18109.1,17437.2,0,0,2500,64,1,2.46e+08,3.28e+08,0,0,-671.9004
0,46,8,0,0,1,15674.1,17903.2,17732.7,0,0,2116,64,1,2.46e+08,3.21e+08,0,0,-170.5
0,43,10,0,0,1,15674.1,17903.2,19709.9,0,0,1849,100,1,2.46e+08,3.21e+08,0,0,1806.701
0,21,10,0,0,1,15674.1,16112.9,20141.4,0,0,441,100,1,2.46e+08,2.60e+08,0,0,4028.5
0,24,9,0,0,1,15674.1,16112.9,36943.2,0,0,576,81,1,2.46e+08,2.60e+08,0,0,20830.3
0,54,7,0,0,1,15674.1,16112.9,18841,0,0,2916,49,1,2.46e+08,2.60e+08,0,0,2728.1
0,53,6,0,0,1,15674.1,15217.7,14777.3,0,0,2809,36,1,2.46e+08,2.32e+08,0,0,-440.4004
0,46,7,0,0,1,15674.1,14680.6,9605.22,0,0,2116,49,1,2.46e+08,2.16e+08,0,0,-5075.38
0,46,4,0,0,1,15674.1,14322.6,8866.36,0,0,2116,16,1,2.46e+08,2.05e+08,0,0,-5456.239
0,18,10,0,1,1,15674.1,10741.9,20688.2,0,0,324,100,1,2.46e+08,1.15e+08,0,0,9946.299
0,49,8,0,1,0,15674.1,1074.19,0,0,0,2401,64,1,2.46e+08,1153884,0,0,-1074.19
0,27,9,0,0,1,15478.2,16471,15516.1,0,0,729,81,1,2.40e+08,2.71e+08,0,0,-954.9004
0,34,6,0,1,1,15478.2,16112.9,16255,0,0,1156,36,1,2.40e+08,2.60e+08,0,0,142.0996
